,src/tcc.c,src/tcctools.c,src/libtcc.c,src/i386-asm.c,src/x86_64-link.c,src/x86_64-gen.c,src/tccrun.c,src/tccelf.c,src/tccasm.c,src/tccdbg.c,src/tccgen.c,src/tccpp.c,include/tcc.h,total_coverage
Iteration 0,55.24,0.0,38.38,0.0,0.0,35.32,2.22,18.59,0.0,8.54,46.72,62.91,33.96,33.67
Iteration 1,55.24,0.0,38.38,38.99,0.0,43.03,2.22,18.59,22.36,8.78,52.14,63.94,39.62,39.77
Iteration 2,55.24,0.0,38.38,38.99,0.0,43.03,2.22,18.59,22.36,8.78,53.03,64.5,39.62,40.15
Iteration 3,55.24,0.0,38.6,38.99,0.0,52.32,2.22,18.59,22.36,9.02,56.08,67.17,39.62,42.29
Iteration 4,55.24,0.0,38.6,38.99,0.0,59.86,2.22,18.59,22.36,9.02,58.04,67.9,39.62,43.6
Iteration 5,55.24,0.0,38.6,38.99,0.0,65.56,2.22,18.59,22.36,9.02,59.08,69.49,43.4,44.63
Iteration 6,55.24,0.0,38.6,38.99,0.0,65.73,2.22,18.59,22.36,9.02,59.15,69.49,43.4,44.66
